asistencia_clases,tareas_entregadas,participacion_clase,horas_estudio,promedio_evaluaciones,cursos_reprobados,actividades_extracurriculares,reportes_disciplinarios,riesgo,carnet,first_name,last_name,promedio_actual,gender
90.9,10,84.0,7.2,61.4,0,['club_ciencias'],1,riesgo,89-541-1869,Ana,Vargas,80.5154,Polygender
74.2,20,70.8,4.6,88.5,0,['musica'],1,no riesgo,98-528-8550,Angel,Garcia,87.8988,Agender
77.3,16,81.4,12.1,85.9,0,['voluntariado'],0,no riesgo,85-173-7961,Lucia,Sanchez,53.3381,Non-binary
80.3,18,69.7,3.9,70.0,1,"['deportes', 'musica', 'ajedrez']",0,no riesgo,81-909-5295,Maria,Ramirez,92.1506,Female
86.3,20,80.0,5.0,79.1,0,"['club_ciencias', 'voluntariado']",1,no riesgo,95-211-6216,Marco,Torres,51.1203,Female
100.0,20,66.2,7.4,71.2,1,[],0,no riesgo,10-584-3351,Lucia,Sanchez,76.2291,Male
98.4,14,62.4,2.2,59.7,1,['voluntariado'],0,riesgo,22-775-7156,Jose,Gonzalez,73.8685,Genderfluid
80.8,15,70.0,13.5,70.5,0,[],1,no riesgo,25-126-2885,Daniela,Ramirez,51.8224,Genderqueer
71.4,9,75.8,12.0,86.9,0,"['ajedrez', 'teatro']",0,no riesgo,14-885-9377,Elena,Castillo,64.9921,Agender
98.4,18,67.0,4.4,74.9,0,"['club_matematicas', 'voluntariado']",0,no riesgo,80-162-6312,Mateo,Flores,84.8436,Non-binary
74.1,20,75.2,7.5,82.6,1,['club_matematicas'],0,riesgo,33-761-5095,Luis,Flores,79.8146,Bigender
99.4,17,65.3,18.3,75.1,0,[],2,riesgo,86-506-6739,Elena,Sanchez,94.4367,Female
92.9,7,99.3,14.6,93.0,2,['arte'],0,no riesgo,62-963-3631,Diego,Castillo,81.7798,Polygender
96.7,20,90.5,10.5,69.4,0,['club_lectura'],1,no riesgo,29-266-2570,Luis,Castillo,70.7841,Polygender
88.6,14,63.6,6.9,78.8,0,[],0,no riesgo,76-553-4049,Jose,Rodriguez,95.5745,Agender
61.2,19,77.9,1.0,84.3,1,['club_lectura'],0,no riesgo,50-337-9815,Camila,Rodriguez,70.8618,Bigender
72.4,18,68.0,15.7,80.9,1,"['ajedrez', 'club_ciencias']",0,no riesgo,44-322-6033,Angel,Rodriguez,83.429,Polygender
100.0,15,84.7,10.8,90.9,1,"['arte', 'robotica']",0,no riesgo,56-344-6276,Luis,Lopez,82.3934,Bigender
86.9,14,84.8,9.8,71.2,2,"['periodico', 'ajedrez']",0,no riesgo,84-954-1454,Luis,Castillo,67.3822,Female
76.6,12,68.6,9.9,75.1,0,"['arte', 'deportes', 'periodico', 'robotica']",0,no riesgo,92-834-2134,Lucia,Rodriguez,81.0483,Agender
86.3,14,80.8,10.9,77.0,3,['robotica'],0,no riesgo,27-291-1602,Valentina,Rodriguez,61.3283,Non-binary
93.9,8,61.4,7.9,66.7,1,['deportes'],0,riesgo,64-193-2407,Maria,Martinez,72.8803,Genderqueer
89.0,17,70.9,10.7,63.7,0,"['teatro', 'deportes']",0,riesgo,84-851-6515,Angel,Gonzalez,78.828,Genderfluid
80.3,16,75.8,11.4,63.4,1,['musica'],0,riesgo,72-179-4442,Daniela,Flores,61.7281,Polygender
79.0,19,57.4,5.7,59.1,2,['arte'],0,riesgo,50-222-5501,Maria,Vargas,73.569,Bigender
91.5,18,78.1,12.7,75.9,1,"['club_matematicas', 'periodico']",0,no riesgo,42-199-9645,Juan,Perez,57.6746,Genderfluid
87.6,14,72.2,9.4,68.7,1,['periodico'],1,riesgo,96-786-5351,Maria,Perez,100.0,Female
87.5,13,69.2,0.7,85.8,0,['club_ciencias'],0,riesgo,55-160-5823,Daniela,Castillo,72.5165,Non-binary
94.6,17,82.2,9.2,57.4,0,['club_ciencias'],1,no riesgo,90-253-3934,Ana,Vargas,42.5159,Polygender
82.0,13,68.2,12.6,58.7,1,"['club_matematicas', 'club_ciencias', 'voluntariado']",0,riesgo,52-760-7883,Elena,Rodriguez,67.3154,Non-binary
67.2,20,76.6,12.7,75.0,0,"['periodico', 'club_ciencias', 'teatro']",0,no riesgo,18-209-3969,Camila,Torres,85.6411,Bigender
99.4,15,79.2,8.1,60.3,2,['musica'],0,riesgo,44-492-1876,Mateo,Lopez,88.1615,Male
82.4,13,64.4,6.2,56.3,2,['periodico'],0,riesgo,41-812-9433,Ana,Perez,89.3681,Bigender
86.4,18,62.8,13.0,92.5,0,['periodico'],0,no riesgo,18-461-9159,Mateo,Martinez,65.6184,Non-binary
93.3,20,76.5,14.8,60.6,0,"['teatro', 'ajedrez']",0,no riesgo,24-677-2836,Jose,Castillo,81.5041,Agender
93.8,18,49.5,10.9,63.2,0,"['ajedrez', 'arte']",0,no riesgo,60-935-3104,Marco,Flores,85.7396,Non-binary
84.8,18,90.2,16.8,68.7,2,"['arte', 'robotica']",1,no riesgo,31-682-3930,Lucia,Rodriguez,80.8859,Genderfluid
91.4,20,85.2,8.1,83.8,1,"['teatro', 'deportes', 'periodico']",1,no riesgo,59-423-6072,Daniela,Ramirez,81.7187,Genderqueer
94.9,20,79.5,6.4,52.9,1,['club_ciencias'],0,riesgo,86-295-1038,Maria,Vargas,77.467,Agender
74.8,20,73.1,5.1,57.0,1,"['periodico', 'club_lectura']",0,riesgo,68-303-4169,Camila,Torres,91.6586,Agender
82.8,12,78.5,17.0,81.5,0,['deportes'],1,no riesgo,92-554-2828,Marco,Rodriguez,62.7454,Non-binary
94.8,20,60.1,13.1,70.3,1,"['club_lectura', 'periodico']",0,no riesgo,89-151-1418,Ana,Flores,65.8169,Agender
91.3,14,73.2,9.8,87.5,0,"['voluntariado', 'club_matematicas']",0,no riesgo,12-447-6293,Ana,Perez,69.704,Non-binary
68.2,8,71.1,2.5,63.9,1,"['club_matematicas', 'ajedrez', 'deportes']",2,riesgo,53-926-4360,Valentina,Martinez,75.2896,Agender
94.5,11,75.3,11.7,90.7,1,['arte'],0,no riesgo,38-596-6174,Maria,Gonzalez,64.1666,Bigender
83.4,15,83.9,7.7,94.7,1,['club_matematicas'],2,no riesgo,30-500-9145,Luis,Castillo,55.1793,Female
83.0,16,71.9,10.7,56.3,0,['voluntariado'],0,no riesgo,36-764-9012,Carlos,Gonzalez,92.999,Polygender
94.8,17,75.2,10.9,76.1,2,['periodico'],0,no riesgo,61-548-3958,Luis,Gonzalez,66.7877,Genderqueer
100.0,20,70.6,7.9,47.3,1,"['musica', 'club_ciencias']",0,riesgo,56-710-7583,Lucia,Gonzalez,50.1609,Agender
81.0,11,78.0,7.4,67.9,0,[],0,riesgo,57-246-8536,Elena,Garcia,80.1172,Non-binary
100.0,10,85.7,3.6,70.8,0,['robotica'],0,riesgo,84-513-9251,Jose,Vargas,68.912,Male
88.5,17,73.6,0.0,59.2,0,"['club_lectura', 'club_matematicas', 'club_ciencias']",1,riesgo,33-161-1367,Diego,Ramirez,92.3648,Genderfluid
75.3,20,69.3,7.7,49.0,1,[],1,riesgo,16-344-7607,Angel,Sanchez,78.5558,Polygender
76.0,20,61.5,2.3,54.4,0,['deportes'],0,no riesgo,38-347-2544,Diego,Ramirez,63.9254,Agender
67.1,18,82.0,6.6,66.2,0,"['club_lectura', 'musica']",0,riesgo,54-226-1850,Camila,Castillo,72.3816,Genderqueer
86.3,20,84.0,8.3,62.7,1,"['teatro', 'periodico', 'club_ciencias']",0,no riesgo,81-372-1493,Mateo,Perez,51.0382,Genderfluid
92.8,13,70.3,7.2,72.9,0,[],0,riesgo,17-798-8133,Maria,Flores,75.4287,Male
72.1,10,75.0,7.9,74.9,0,[],1,riesgo,97-192-1312,Jose,Torres,67.0773,Male
87.0,13,56.7,8.6,72.7,0,"['periodico', 'deportes']",0,riesgo,75-439-4288,Valentina,Ramirez,64.3816,Genderfluid
74.4,15,74.9,10.4,81.8,1,['periodico'],0,no riesgo,94-135-7263,Carlos,Flores,51.7963,Bigender
95.3,5,75.2,7.8,84.3,0,"['club_matematicas', 'teatro', 'club_lectura']",1,no riesgo,24-619-7387,Elena,Perez,100.0,Bigender
79.7,11,72.9,15.2,84.2,0,"['club_lectura', 'arte']",0,no riesgo,80-467-4013,Ana,Sanchez,99.577,Polygender
97.2,4,56.9,9.3,72.3,0,[],1,riesgo,99-592-6655,Carlos,Lopez,77.7907,Bigender
79.8,14,85.0,13.4,78.5,0,['periodico'],0,riesgo,31-827-1376,Mateo,Ramirez,62.5395,Female
87.1,15,79.7,2.0,69.4,0,[],2,no riesgo,96-776-2590,Ana,Garcia,81.1849,Male
100.0,9,100.0,11.5,70.8,1,['ajedrez'],0,no riesgo,67-577-6467,Ana,Gonzalez,78.3217,Female
84.0,6,72.8,13.0,93.3,0,"['robotica', 'arte']",0,no riesgo,23-446-6100,Maria,Ramirez,43.298,Female
93.3,17,73.2,17.4,61.2,0,[],0,no riesgo,36-346-1799,Jose,Vargas,53.5288,Non-binary
81.6,14,99.7,3.3,80.2,1,"['ajedrez', 'deportes', 'club_matematicas']",0,riesgo,36-325-9447,Diego,Torres,80.6309,Genderfluid
75.2,17,57.8,8.9,70.9,0,['voluntariado'],0,no riesgo,69-281-2296,Angel,Martinez,85.1196,Male
88.6,10,71.0,17.5,59.3,0,['club_matematicas'],0,riesgo,42-187-2786,Luis,Sanchez,26.2393,Agender
63.2,20,78.3,3.5,73.2,0,"['club_ciencias', 'ajedrez']",0,riesgo,72-879-6669,Diego,Flores,63.4729,Polygender
82.3,20,70.9,9.3,66.7,1,"['club_matematicas', 'teatro']",0,no riesgo,86-554-7216,Lucia,Martinez,79.5297,Male
71.2,9,70.9,8.2,65.7,1,[],0,riesgo,92-179-6596,Ana,Garcia,83.5119,Polygender
81.4,18,77.5,5.7,75.2,0,"['club_matematicas', 'voluntariado']",1,no riesgo,56-533-2097,Marco,Torres,61.5234,Agender
88.7,11,70.5,9.5,86.6,0,[],1,riesgo,17-443-4868,Diego,Ramirez,48.2622,Female
100.0,17,89.4,8.6,56.9,1,"['teatro', 'robotica']",0,no riesgo,36-843-4583,Mateo,Castillo,68.0705,Polygender
74.0,12,86.1,19.0,73.2,2,"['voluntariado', 'arte']",1,riesgo,34-738-7705,Luis,Sanchez,78.9223,Polygender
78.5,18,36.9,2.8,67.9,2,['ajedrez'],0,no riesgo,47-118-4024,Valentina,Martinez,79.8218,Male
68.8,20,67.0,15.1,70.1,0,['club_lectura'],1,riesgo,76-162-8734,Angel,Garcia,64.0734,Agender
64.0,19,71.1,10.6,72.7,0,"['teatro', 'periodico']",0,no riesgo,54-579-4223,Juan,Rodriguez,60.9975,Non-binary
79.2,18,83.6,13.1,80.0,1,['club_matematicas'],1,no riesgo,62-554-2270,Lucia,Lopez,69.5956,Polygender
82.0,15,53.3,2.5,36.3,1,[],0,riesgo,99-391-7144,Camila,Vargas,77.4315,Genderfluid
82.0,5,92.1,8.2,67.3,0,"['club_lectura', 'arte', 'teatro']",1,no riesgo,70-638-9881,Lucia,Perez,88.9138,Genderqueer
85.0,14,78.4,8.1,66.7,0,[],0,riesgo,69-482-6886,Camila,Rodriguez,61.6941,Agender
89.2,11,75.7,8.5,69.6,1,['voluntariado'],0,riesgo,26-744-9697,Jose,Torres,81.4282,Male
97.0,17,60.0,9.9,99.5,0,[],1,no riesgo,16-101-4341,Camila,Ramirez,100.0,Genderfluid
92.9,17,100.0,5.4,71.9,0,"['musica', 'voluntariado', 'deportes']",1,no riesgo,40-113-5535,Diego,Perez,81.0514,Male
90.0,13,67.2,10.8,74.6,3,['ajedrez'],2,riesgo,22-560-6105,Carlos,Garcia,30.9973,Polygender
81.8,18,65.3,3.4,61.9,2,['arte'],1,no riesgo,53-145-1480,Diego,Gonzalez,74.5169,Non-binary
92.6,8,97.7,8.5,44.9,1,['ajedrez'],1,riesgo,27-861-7757,Elena,Perez,88.637,Non-binary
88.1,12,62.5,13.8,45.4,2,"['teatro', 'deportes', 'club_lectura']",2,riesgo,72-758-1990,Valentina,Ramirez,77.0733,Polygender
75.5,20,87.5,6.3,80.7,1,"['voluntariado', 'ajedrez']",0,no riesgo,57-630-3798,Carlos,Lopez,51.1149,Female
72.7,16,67.3,9.9,58.0,4,"['club_ciencias', 'club_lectura']",1,no riesgo,80-204-7687,Camila,Perez,60.8003,Polygender
91.6,20,67.5,9.1,83.9,0,[],0,no riesgo,42-563-5637,Elena,Lopez,43.036,Genderfluid
94.6,13,85.4,18.5,83.6,2,"['club_lectura', 'voluntariado']",0,riesgo,72-971-4776,Mateo,Ramirez,84.9214,Genderqueer
76.3,11,77.4,14.0,75.1,0,[],0,riesgo,83-712-2901,Luis,Lopez,50.4789,Genderqueer
78.4,20,59.7,8.4,69.4,2,['teatro'],1,riesgo,95-177-7083,Angel,Torres,82.9215,Polygender
92.8,7,85.7,4.5,84.4,2,"['club_ciencias', 'periodico']",0,riesgo,54-285-7280,Mateo,Sanchez,77.9334,Genderfluid
90.0,13,58.3,12.6,86.2,1,"['deportes', 'teatro']",1,riesgo,14-424-6200,Marco,Sanchez,62.9509,Genderqueer
75.2,14,78.4,0.0,65.1,2,['deportes'],0,riesgo,42-523-2298,Luis,Garcia,76.4277,Agender
78.0,15,100.0,5.8,85.3,0,['club_matematicas'],0,no riesgo,24-860-3025,Daniela,Gonzalez,63.713,Genderqueer
75.7,10,87.8,10.2,62.6,1,"['club_matematicas', 'arte']",0,riesgo,71-572-5388,Carlos,Torres,74.9139,Male
98.2,8,50.9,16.6,70.5,0,"['club_lectura', 'robotica']",1,no riesgo,31-247-3455,Valentina,Castillo,100.0,Non-binary
84.4,4,61.6,3.8,53.4,3,['periodico'],0,riesgo,92-108-3330,Diego,Gonzalez,72.9885,Non-binary
87.6,20,55.4,0.0,65.4,0,"['club_ciencias', 'club_lectura', 'teatro']",0,riesgo,26-995-3404,Angel,Torres,72.87,Non-binary
71.6,16,69.2,11.9,88.0,0,[],0,no riesgo,58-897-2754,Diego,Sanchez,85.3686,Non-binary
85.6,13,75.2,5.4,81.8,0,[],1,no riesgo,45-206-3151,Maria,Lopez,75.1563,Genderqueer
88.9,8,63.0,8.7,79.9,0,[],0,riesgo,55-718-2260,Valentina,Garcia,45.355,Male
90.6,10,76.4,5.9,60.1,0,['musica'],0,no riesgo,71-351-2053,Ana,Torres,82.1555,Polygender
99.8,20,84.0,10.2,69.0,0,['club_matematicas'],1,no riesgo,50-584-1349,Juan,Perez,78.7395,Polygender
73.4,16,63.1,5.8,82.9,1,"['ajedrez', 'arte', 'periodico']",1,no riesgo,49-552-3443,Elena,Ramirez,81.0422,Bigender
84.1,3,79.3,7.1,73.4,1,['robotica'],0,no riesgo,47-867-3940,Carlos,Lopez,43.0302,Genderfluid
100.0,20,64.4,3.0,66.4,0,"['teatro', 'robotica']",0,no riesgo,87-158-7705,Marco,Lopez,90.3058,Female
70.4,12,87.8,7.5,68.9,1,['ajedrez'],0,riesgo,25-913-7609,Marco,Vargas,56.4727,Genderfluid
75.4,20,83.2,9.9,81.4,0,"['voluntariado', 'teatro']",1,riesgo,79-694-8228,Ana,Lopez,87.0773,Agender
99.3,12,75.7,7.3,69.4,2,"['musica', 'periodico']",1,no riesgo,57-752-6212,Marco,Perez,40.8752,Genderfluid
85.9,14,77.6,11.1,80.1,0,['musica'],2,riesgo,48-376-3987,Maria,Flores,64.061,Agender
85.5,12,88.6,6.3,52.6,0,"['musica', 'robotica']",0,riesgo,44-563-3127,Luis,Perez,90.2171,Non-binary
88.4,9,86.4,8.2,63.3,2,['ajedrez'],0,riesgo,66-732-1844,Maria,Sanchez,65.6191,Bigender
70.9,17,87.8,4.9,92.1,1,"['voluntariado', 'ajedrez', 'teatro', 'deportes']",1,no riesgo,58-493-4460,Maria,Perez,73.9106,Agender
85.1,10,71.6,12.1,67.5,0,"['deportes', 'voluntariado']",0,riesgo,25-541-7382,Juan,Torres,70.1217,Genderfluid
94.8,14,71.3,6.6,48.8,0,"['deportes', 'teatro']",1,riesgo,57-508-8196,Ana,Vargas,72.9856,Female
73.1,13,88.9,2.5,74.1,2,"['ajedrez', 'periodico', 'club_lectura', 'musica']",2,riesgo,57-165-1003,Jose,Martinez,73.7959,Agender
80.1,17,50.8,7.8,69.6,1,"['musica', 'arte', 'teatro']",0,riesgo,13-651-6141,Elena,Ramirez,56.3991,Genderfluid
70.4,20,63.4,12.0,74.5,1,['robotica'],1,riesgo,97-698-2978,Elena,Sanchez,87.5244,Agender
82.5,14,100.0,13.6,81.0,0,[],0,no riesgo,49-393-4111,Maria,Lopez,93.4697,Female
83.6,14,59.1,11.9,72.4,0,[],1,riesgo,54-491-1122,Luis,Lopez,75.2257,Polygender
90.9,3,62.7,18.5,65.7,0,['teatro'],0,riesgo,36-623-8083,Marco,Vargas,73.248,Genderqueer
66.7,11,90.7,11.4,71.7,0,[],0,no riesgo,22-755-2368,Maria,Ramirez,67.7322,Genderfluid
99.5,8,50.0,10.0,70.9,0,['club_matematicas'],2,riesgo,51-591-7915,Daniela,Martinez,79.8265,Genderfluid
72.2,12,69.1,12.4,86.1,0,"['club_ciencias', 'arte']",0,no riesgo,38-430-4308,Daniela,Sanchez,41.468,Female
83.4,13,72.0,4.3,44.7,0,"['deportes', 'voluntariado']",1,riesgo,75-636-4922,Marco,Martinez,66.5756,Non-binary
89.2,14,88.7,6.4,83.5,1,['robotica'],0,no riesgo,78-505-5663,Ana,Ramirez,59.7597,Agender
83.3,10,63.0,11.1,81.1,2,[],1,riesgo,48-450-3177,Marco,Torres,45.2659,Genderfluid
100.0,12,84.4,4.2,100.0,1,['ajedrez'],0,no riesgo,50-887-9614,Lucia,Ramirez,75.7737,Male
100.0,11,95.4,9.1,49.5,1,"['arte', 'teatro', 'robotica']",0,no riesgo,37-288-2697,Luis,Martinez,50.7214,Bigender
70.1,13,81.3,5.7,58.7,0,['robotica'],0,riesgo,14-434-9171,Lucia,Sanchez,64.0229,Male
78.1,9,52.0,4.1,63.8,0,"['robotica', 'arte']",0,riesgo,38-281-5668,Carlos,Perez,69.5654,Genderqueer
87.4,20,78.1,6.3,80.2,1,"['deportes', 'musica', 'club_matematicas']",0,no riesgo,48-552-3833,Marco,Lopez,66.4156,Agender
90.0,17,84.3,7.5,71.6,0,"['periodico', 'robotica']",0,no riesgo,95-473-4806,Jose,Vargas,42.4942,Bigender
94.1,15,77.7,16.5,74.6,0,['ajedrez'],1,no riesgo,86-281-5944,Luis,Perez,63.3022,Male
80.8,8,99.2,10.6,81.1,1,['club_matematicas'],1,no riesgo,68-601-1294,Marco,Lopez,78.8027,Genderqueer
81.4,11,61.4,3.2,81.9,0,"['voluntariado', 'arte']",1,riesgo,38-498-9202,Luis,Perez,90.4086,Bigender
86.0,20,62.5,6.0,69.1,2,"['ajedrez', 'periodico']",0,no riesgo,24-834-7867,Ana,Castillo,42.1656,Non-binary
75.4,16,74.6,6.4,77.5,3,['ajedrez'],1,riesgo,54-640-3401,Mateo,Rodriguez,46.8097,Polygender
72.5,19,83.9,9.2,55.6,3,[],0,riesgo,29-983-8317,Ana,Ramirez,39.7946,Male
86.9,20,72.7,3.5,87.7,0,[],0,no riesgo,91-307-2532,Juan,Torres,100.0,Genderqueer
68.2,16,87.3,9.8,70.1,1,"['ajedrez', 'teatro']",1,no riesgo,62-956-5772,Valentina,Gonzalez,77.4974,Bigender
73.5,17,64.1,19.4,65.2,1,['club_ciencias'],0,riesgo,54-532-8844,Ana,Flores,65.2719,Non-binary
81.2,16,77.2,11.1,76.2,3,"['robotica', 'teatro']",1,riesgo,82-954-7316,Juan,Martinez,76.0519,Genderfluid
80.5,17,81.0,18.9,75.6,0,"['voluntariado', 'club_lectura']",0,no riesgo,72-276-9866,Diego,Ramirez,100.0,Agender
91.3,20,78.9,12.9,60.6,0,[],0,no riesgo,80-690-6991,Maria,Castillo,59.9561,Male
85.2,12,100.0,9.3,71.1,0,[],1,riesgo,99-306-3716,Elena,Vargas,84.5963,Non-binary
93.1,1,52.7,14.9,77.3,0,['club_matematicas'],0,riesgo,78-220-7343,Mateo,Torres,74.7439,Genderfluid
75.5,3,79.5,16.9,85.0,0,"['arte', 'teatro', 'club_matematicas', 'periodico']",0,riesgo,50-335-5273,Maria,Garcia,60.3774,Female
83.8,14,88.2,6.9,69.6,0,['periodico'],1,no riesgo,28-368-7050,Daniela,Lopez,61.5262,Genderqueer
77.5,18,100.0,11.3,70.9,2,"['ajedrez', 'voluntariado']",1,no riesgo,95-328-5046,Carlos,Perez,62.8893,Genderfluid
78.5,11,71.5,9.0,70.0,0,[],1,no riesgo,22-989-3218,Camila,Martinez,84.7356,Agender
100.0,17,66.4,6.5,68.1,0,[],0,no riesgo,52-217-6353,Mateo,Lopez,63.1769,Non-binary
72.0,16,69.2,4.9,53.9,0,[],1,riesgo,72-375-9336,Jose,Perez,56.3479,Polygender
95.0,19,67.3,12.3,79.4,1,[],1,no riesgo,74-679-8006,Camila,Sanchez,76.6655,Genderqueer
100.0,16,78.1,6.3,75.2,2,[],1,riesgo,44-699-7358,Jose,Gonzalez,80.5895,Male
94.9,16,66.4,17.0,72.7,0,[],0,riesgo,91-101-4462,Camila,Lopez,81.7052,Agender
90.3,8,100.0,20.2,63.9,1,[],0,no riesgo,92-481-5211,Angel,Vargas,76.3345,Genderfluid
100.0,13,69.9,19.8,76.0,2,['robotica'],1,riesgo,37-857-2209,Luis,Sanchez,60.6662,Genderqueer
84.6,16,81.8,6.7,60.2,2,"['club_lectura', 'club_matematicas', 'voluntariado']",0,riesgo,87-848-3640,Carlos,Lopez,72.7858,Female
84.2,19,94.3,6.9,79.7,2,[],0,no riesgo,97-241-2562,Angel,Castillo,78.6311,Female
82.2,20,61.5,9.4,84.2,2,['club_ciencias'],0,no riesgo,60-825-8467,Elena,Vargas,84.8569,Polygender
92.8,19,71.4,9.2,92.1,1,"['teatro', 'club_lectura', 'deportes', 'club_matematicas']",1,no riesgo,99-525-3798,Angel,Gonzalez,73.4891,Genderfluid
100.0,15,66.3,4.9,64.5,1,['voluntariado'],0,no riesgo,56-204-1725,Camila,Garcia,84.3106,Bigender
